access,aerial_photograph,architecture,botany_chk,bridge_chk,building_chk,church_chk,dam_chk,chipped_stone,condition,description_environment,description_position,easting,elevation,entered_by,entered_date,extraction_chk,geomorphology_chk,ground_stone_chk,hellenistic_or_roman_chk,iron_age_chk,intensive_survey_zone,kiln_chk,lithics_chk,locality,mine_adit_chk,medieval_or_ottoman_chk,modern_chk,northing,other_structure_chk,plot_village,posi_no,pottery,pottery_chk,prehistoric_chk,recorded_by,recorded_date,posi_references,road_chk,rock_chk,settlement_chk,shrine_chk,sheet_map_1_5000,village_plan,sia_number,sketch_chk,slag,slag_chk,source,summary,team_leader,threshing_floor_chk,tile,tomb_chk,topography,vegetation,view_chk,village,visibility_percent
Back road from Alestos to Ayios Yioryios,,None,No,No,No,No,No,None,Poor,In fallow field full of wild oats c. 30m ESE of the E wall of TP113 and slightly downslope from TP113.Bulldozed fields to south of POSI. Next to the field shelter is Zysiphus spina-christi. 502090E 3876250N from IP0249,Possible collapsed field shelter filled with rubble from its construction. Long line of rubble piles about 15m SE of shelter along the edge of a bulldozed field.S facing edge 4m longE facing edge 3.8m long.The north and south sides are clearly visible and cut into the bank. The east wall has collapsed in and the west wallis obscured by large angular basalt blocks.,501916.00,513.00,ASM,28/7/2002 00:00:00,No,No,None,Yes,No,Xyliatos,No,No,Litharkies,No,No,No,3876100.00,Yes,,TP114,None,No,No,ASM,28/7/2002 00:00:00,,No,No,No,No,29-XXVI,,TS05,Yes,None,No,GPS,Possible collapsed field shelter,AGR,No,None,No,Low gradient hillslope at the bottom of S facing slope of Alestos,"Wild oats, spiny burnet, hawthorn, almonds, centurion thistle, Zyziphus spina-christi",No,Xyliatos,5.00
Up slope from dirt track from Ayios Yeoryios on south slope of Alestos,,Some,No,No,No,No,No,None,Good but one top stone collapsed out.,Steep bedrock outcrops. Vegetation growing sparsely up slope (N). Mixed vegetation but spiny burnet prominent to the north.,"Crudely made dry stack of angular material. Platform: 260cm E-W, 250cm N-S, N side bedrock. S side stone wall: 70cm high, curving slightly at west end. Very poor visibility in surrounding area, less than 10%.",501976.00,606.00,ESP,15/7/2003 00:00:00,No,No,None,No,No,Xyliatos,No,No,Kokkinoplevra tou Alestou,No,No,No,3876508.00,Yes,,TP150,None,No,No,RAB,15/7/2003 00:00:00,,No,No,No,No,29-XXVI,,TS05,Yes,None,No,GPS,Stone wall of angular basalt boulders with small platform.,AGR,No,None,No,Steep rocky slope,"Hawthorn, Spiny Burnet, Wild Grasses, Capers",No,Xyliatos,0.00
Dirt track from Ayios Yeoryios to south side of Alestos and then walk.,,None,No,No,No,No,Yes,None,,Located in a gully that is on a noth-south facing slope at an altitude of 636 m and a slope of 25 degrees. It is formed in pillow basalt that has significant concentration of manganese.,Check dam high up a gully with a young almond tree and wild garlic. Rock walls on each side. Little pockets of soil among lots of rubble. There is a carob tree 5m away on the western rock wall.,501985.00,636.00,ESP,15/7/2003 00:00:00,No,No,None,No,No,Xyliatos,No,No,Kokkinoplevra tou Alestou,No,No,No,3876542.00,No,,TP151,None,No,No,KWJ,15/7/2003 00:00:00,,No,No,No,No,29-XXVI,,TS05,No,None,No,GPS,Possible check dam high up south side of Alestos.,AGR,No,None,No,Narrow steep gully above adits.,"Almond, Wild Garlic, Carob, Wild Grasses and Spiny Burnet",No,Xyliatos,10.00
Top of Alestos (via dirt track from Ayios Yeoryios to south of Alestos),,Some,No,No,No,No,No,None,Good - wall in good condition not much impact on it aside from environmental due to its isolated location.,Steep pillow lava slope below summit of Alestos. Extremely thin stony soil supporting spiny burnet and grasses with one or two very stunted hawthorns.,Small platform (170 cm by 260 cm) cut into the bedrock just below the summit of Alestos. Curved wall created of dry stone walling closely packed ands levelled with pebble and cobble-sized stones.,501946.00,652.00,AGR,16/7/2003 00:00:00,No,No,None,No,No,Xyliatos,No,No,Kokkinoplevra tou Alestou,No,No,No,3876579.00,Yes,,TP152,None,No,No,ESP,15/7/2003 00:00:00,,No,No,No,No,29-XXVI,,TS05,Yes,None,No,GPS,Small platform with dry stone wall on south face of Alestos,AGR,No,None,No,"Bedrock towards top of Alestos, steep pillow lava formations","Spiny Burnet, Wild Grasses, Hawthorn",No,Xyliatos,100.00
Immediately next to the Alestos mine access road [not usable].,,None,No,No,No,No,No,None,"South adit: Good. East adit: not as good, lots of infill. Both are heavily lichenated","Two collapsed adits on the west facing slope of Alestos. Close to the ridge and immediately below the Alestos mine access road. Soil is very thin and stony and is supporting grass, thistles and stunted hawthorn.","Two adits cut into the bedrock below the Alestos mine access road. One adit is heading south and the other is heading east. There is a short flat area between the mouths which may have been a junction?! South adit dimensions: 180cm deep, 160cm wide inside adit, 70cm high at mouth, 70cm wide at mouth. There is a cut 45cm wide x 180cm long through the bedrock to the mouth.East adit dimensions: 70cm high at mouth, 70cm wide at mouth, 90cm deep. Lots of tumble infill in this adit.",501981.00,664.00,ESP,16/7/2003 00:00:00,Yes,No,None,Yes,No,Xyliatos,No,No,Alestos,Yes,No,No,3876674.00,No,,TP153,None,No,No,ESP,15/7/2003 00:00:00,,No,No,No,No,29-XXVI,,TS05,Yes,None,No,GPS,Two adits below the road on the top of Alestos.,AGR,No,None,No,Steep rocky ground/slope immediately below the ridge,"Thistle, Spiny Burnet, Cistus, Hawthorn and grasses",No,Xyliatos,30.00
Via Alestos mine access road near Agios Yeoryios [not in use],,Some,No,No,No,No,No,None,"Very good, no damage to wall. Lots of lichenation.","Set high up on west facing slope of Alestos below ridge and last stretch of the mine access road (actually situated in the area formed by the road switching back on itself). Soil is thin and stony able to support only spiny burnet, grasses and stunted hawthorn.",Small platform with dry stone retaining wall packed behind with cobble and pebble sized stones. Wall is approximately 4 courses high (45cm high). Courses fine upwards (biggest boulders on bottom up to cobbles on top). Platform is cut into bedrock at rear. Dimensions: 280cm N-S across the slope and 220cm E-W down the slope. This construction has produced a very flat area. This is very similar to TP152 found on the south facing slope. Possibly a shooting platform but no cartridges. Potentially related to the mine as it is situated immediately below the two adits TP153.,501970.00,667.00,ESP,16/7/2003 00:00:00,No,No,None,No,No,Xyliatos,No,No,Alestos,No,No,No,3876678.00,Yes,,TP154,None,No,No,ESP,15/7/2003 00:00:00,,No,No,No,No,29-XXVI,,TS05,No,None,No,GPS,Small platform with dry stone retaining wall and cut into bedrock.,AGR,No,None,No,Steep rocky slope on west facing side of Alestos below ridge.,"Spiny Burnet, Systus, Grasses, Hawthorn",No,Xyliatos,70.00
Road to Stavros - 100m NW.,,Some,No,No,No,No,Yes,Unclear,Unstable.,Open forest.  Some vegetation but no heavy undergrowth.,"Forked gully heading NE.  Two tributary gullies on the N and NW.  Six clear structures.  Gully shows less erosion than other series 50m N (TP157).  Structures appear loose and less stable than those recorded in TP157 [or TP156, as form? MJG].  Averaging 2.3m in width and 0.35m in height.  Resevoirs of upper check dams are fuller than lower ones.  5m from gully is a path.",497925.00,522.00,SMJ,22/7/2003 00:00:00,Yes,No,Unclear,No,No,Asinou,No,No,Stavros,No,Yes,No,3877900.00,No,,TP155,Unclear,No,No,CLT,15/7/2003 00:00:00,,No,No,No,No,28-XXXII,,TS19,Yes,Unclear,No,Image Print,Series of check dams.,ESG,No,Unclear,No,Gully/steep slope.,"Cistus, pine trees and mosses.",No,Nikitari,70.00
Stavros Road.,,Unclear,No,No,No,No,Yes,Unclear,Relatively stable.,"Open forest, steep slopes.",1.5m across for individual check dams.  Boulders used instead of cobbles.  Walls made of alluvium as opposed to gravel or bedrock.  Channel is stream like and self-contained.  Walls are up to 0.5m tall at bottom of slope.  4 identifiable check dams.  Boulders are heavily packed.  0.6m of sediment on which lies 0.4m stone structures although this appears less pronounced up slope.  There are also natural outcrops which could be mistaken for dams.  Dams spaced out.,497925.00,499.00,SMJ,22/7/2003 00:00:00,Yes,No,Unclear,No,No,Asinou,No,No,Stavros,No,Yes,No,3877925.00,No,,TP156,Unclear,No,No,CLT,15/7/2003 00:00:00,,No,No,No,No,28-XXXII,,TS19,Yes,Unclear,No,Image Print,Series of check dams.,ESG,No,Unclear,No,Steep gully.,"Wild grasses, pine trees and cistus.",No,Nikitari,80.00
Road beside field,,Some,No,No,No,No,Yes,Unclear,Fairly visible and presence of mosses,Uncultivated field. GU2331,"Two stone check dams on a gentle north-facing slope 10m apart and 3m wide, and 50cm high. Check dams are fairly visible unlike surroundings which have overgrown wild cereal.",497380.00,494.00,CRR,27/7/2003 00:00:00,Yes,No,Unclear,No,No,Asinou,No,No,Paloeolinos,No,Yes,No,3877990.00,No,,TP159,Unclear,No,No,CLT,15/7/2003 00:00:00,,No,No,No,No,28-XXXII,,TS17,Yes,Unclear,No,GPS,Two stone check dams,ESG,No,Unclear,No,Field - up gentle slope (north-facing),"Wild grasses, pines",No,Nikitari,60.00
Stavros Road.,,Some,No,No,No,No,Yes,Unclear,Stable.,Open forest. GU2311,"Single wooden check dam in gully.  1.35m wide and 20cm high.  Log still has dry bark adhering to the underside stones to the left holding it in place.Alluvium exposed under log, build up of sediment behind it.",497875.00,527.00,SMJ,22/7/2003 00:00:00,Yes,No,Unclear,No,No,Asinou,No,No,Stavros,No,Yes,No,3877853.00,No,,TP160,Unclear,No,No,CLT,16/7/2003 00:00:00,,No,No,No,No,28-XXXII,,TS19,Yes,Unclear,No,Image Print,Possible check dam (wooden).,ESG,No,Unclear,No,Shallow gully.,Wild grasses.,No,Nikitari,60.00
Dirt track from Ayios Yioryios.,,None,No,No,No,No,No,None,Stable surface.,It is the highest of a series of mini-summits on the hill. It has an east facing aspect and bounded by a small section of stone piles to the east. The middle section has a number of rock outcrops. The west side leads into a very steep gully. There is another flat area to the NW and has stought North and west facing sides with bed rock exposed.,"It is a summit of a hill and often a commanding view westwards. The steep gully immediately west prevents safe access to the site. To the south of of TS05 (just south of dirt track down to bottom of N - S gully) is another gully running E-W which would provide access onto the saddle that the dirt track runs through. The middle section of the platform has a number of rock outcrops. There are also some bedrock visible on the slopes. It is raised about 1.4 m to the north, a meter to the east, 95 cm to the south and 90 cm to the west side.",501877.00,521.00,TNF,3/8/2003 00:00:00,No,No,None,No,No,Xyliatos,No,No,Litharkies,No,No,No,3876083.00,No,,TP212,Some,No,No,ABL,31/7/2003 00:00:00,,No,No,No,No,29-XXVI,,TS05,No,None,No,GPS,Raised flat area of summit of a small hill.,AGR,No,Some,No,1-degree slope in the NS and E-W directions.,"Grass, thistle, hawthorn, spiny burnet",Yes,Xyliatos,40.00
Dirt road uphill to S of Sina Oros followed by a very steep climb.,,Some,No,No,No,No,No,None,Collapsed.,"Scrub hillslope, cistus, hawthorn, terebinth, spiny burnet, olive.",6m diameter sub-circular rock pile of irregular basalt (local). Terebinth growth obscures centre. Possible double skin wall with core. Associated with abandoned terraces below. Also olive approx. 100 to 200 years old to SSW.Access very difficult due to bulldozed road.Extensive views across North to Morphou bay.Pot located downslope.No cadastral record and data available.,491015.00,680.00,TNF,6/8/2003 00:00:00,No,No,None,No,No,,No,No,Mouti tou Stavrou,No,No,No,3873962.00,No,,TP214,Some,No,No,JOS,31/7/2003 00:00:00,,No,Yes,No,No,37-V,,,Yes,None,No,GPS,"Sub-circular pile of rocks, with collapsed wall to N.",SED,No,None,No,Knoll of hill overlooking Sina Oros.,Scrub,No,Sina Oros,0.00
Ford east of Lemonas,,Abundant,No,No,No,No,No,None,Line of walls clear. Interior may survive under ploughing.,"Slight rise above a bend in the Atsas river, on rolling agricultural land. Views all round. Soil is residuum from bedrock, rather than alluvial. At the well on the N side, the topsoil is 20-30 cm deep, then bedrock. Relatively poor agricultural land (better up hill to NW).","Substantial rectangular structure, with 4 walls expressed as linear rubble piles. Centre ploughed out. Lots of figurines, terracotta sculpture, Iron Age pottery, and some Roman pottery and tile. More figurines at the N end (and perhaps E). Some ground stone. The enclosure is too big to be a roofed structure, and is clearly a temenos. Most stone is imported: eroded coral heads originally from Koroni, picked up from Koutraphas river. Microgabbro, limestone, diabase. Some stones show red colouring from red soils on hill to NW (ancient pediment of Potami age). Rubble lines and walls continue for 100 m to NW, N & NE, though no tile in them and no other clear structures. PU01. Sanctuary temenos. PU02. Field boundary 50 m from temenos at 493062/3882681. Foot; tile rim; some terracotta sculpture. PU03. Possible rock-cut pit with sherds of Hellenistic cooking pot 2 m outside it. 493041/3882649. 2 fragments of Roman rimmed tile c. 5 m W of it.(Revisit by KWJ, NJU, SMJ, MJG on 30/6/04)",493099.00,261.00,MJG,3/8/2003 00:00:00,No,No,Abundant,No,Yes,Atsas,No,No,Khalospitia,No,No,No,3882636.00,No,,TP215,Abundant,Yes,No,MJG,3/8/2003 00:00:00,,No,No,No,Yes,,,,Yes,Some,No,GPS,Archaic sanctuary,JSN,No,Abundant,No,Knoll,"Stubble, zizyphus spino-christi",No,Evrykhou,20.00
Cross Atsas east of Lemonas,,Abundant,No,No,No,No,No,None,Rubble piles. Very overgrown,Bedrock knoll in valley (so not occupying valuable agricultural land)Cadastral plots 151 to 160,"Extensive area of rubble piles, c. 200 m in diameter. Very overgrown. Also a broad arched tunnel entrance (at GPS grid reference). Fair amount of rimmed tile and Roman pottery. Some areas cultivated within last century, but long abandoned. Difficult job to map: GPS an rock piles? Corner of ashlar block near 'tunnel entrance' (which is excavated into old lava tube). Revisit by KWJ, MJG, SMJ, NJU on 30/6/04. Pottery and other objects identified by walking northwest in three lines. Functions: TW, CW, LU, HU, Tr, Ar. State of preservation: the fragments were very small at the southern end and became noticeably larger as we moved north. TW. One ESA and one BS-ER, but mainly ARS, PhW (one: PhW03-LR), and even more CRS (one CRS09-LR). CW. Very thin-walled and often corrugated, indicating a date ER and onwards. One rim+handle fragment of Dhiorios pot collected. LU & HU. Mainly SS, but some F. Identifiable chronotypes: HUR01-ROM, MOR-LR, HUR22-LR. Tr. One LR1-LR handle and at least 2 AmSk01-ROM fragments. A few unidentifiable ones: one large toe and 1 rim collected. Ar. Both SS and F. Slag. 3 pieces.Base of stemmed drinking vessel collected. Certainly a LR settlement, but probably preceded by an earlier occupation at least from ER. Identified as settlement because of character of assemblage, in spite of absence of ground stone. No specialised production vessels identified.",492296.00,236.00,MJG,3/8/2003 00:00:00,No,No,None,Yes,No,Atsas,No,No,Lithosourka,No,No,No,3883039.00,No,,TP216,Abundant,Yes,No,MJG,3/8/2003 00:00:00,,No,Yes,Yes,No,,,,Yes,None,No,GPS,"Extensive area of rubble piles, tile and pottery",JSN,No,Abundant,No,Low broad hill in valley,"Grasses, hawthorn, thistle",No,Petra,10.00
